Processed 1380000 rows; Write: 10189.74 rows/s
Processed 1390000 rows; Write: 10177.22 rows/s
Processed 1400000 rows; Write: 9871.26 rows/s
Processed 1410000 rows; Write: 9907.01 rows/s
Processed 1420000 rows; Write: 10208.49 rows/s
Processed 1430000 rows; Write: 10374.85 rows/s
Processed 1440000 rows; Write: 9923.91 rows/s
Processed 1450000 rows; Write: 10816.35 rows/s
Processed 1460000 rows; Write: 10956.22 rows/s
Processed 1470000 rows; Write: 10526.86 rows/s
Processed 1480000 rows; Write: 10071.30 rows/s
Processed 1490000 rows; Write: 10119.49 rows/s
Processed 1500000 rows; Write: 10190.14 rows/s
Processed 1510000 rows; Write: 9748.62 rows/s
Processed 1520000 rows; Write: 9688.12 rows/s
Processed 1530000 rows; Write: 9865.97 rows/s
Processed 1540000 rows; Write: 9998.58 rows/s
Processed 1550000 rows; Write: 10082.01 rows/s
Processed 1560000 rows; Write: 10416.01 rows/s
Processed 1570000 rows; Write: 10639.75 rows/s
Processed 1580000 rows; Write: 10366.73 rows/s
Processed 1590000 rows; Write: 10420.66 rows/s
Processed 1600000 rows; Write: 11020.43 rows/s
Processed 1610000 rows; Write: 10671.47 rows/s
Processed 1620000 rows; Write: 10608.47 rows/s
Processed 1630000 rows; Write: 10600.74 rows/s
Processed 1640000 rows; Write: 10454.30 rows/s
Processed 1650000 rows; Write: 10339.22 rows/s
Processed 1660000 rows; Write: 10407.25 rows/s
Processed 1670000 rows; Write: 10271.14 rows/s
Processed 1680000 rows; Write: 9989.01 rows/s
Processed 1690000 rows; Write: 10394.07 rows/s
Processed 1700000 rows; Write: 10097.90 rows/s
Processed 1710000 rows; Write: 10328.24 rows/s
Processed 1720000 rows; Write: 10353.05 rows/s
Processed 1730000 rows; Write: 10412.99 rows/s
Processed 1740000 rows; Write: 10371.50 rows/s
Processed 1750000 rows; Write: 9948.92 rows/s
Processed 1760000 rows; Write: 9863.03 rows/s
Processed 1770000 rows; Write: 10304.19 rows/s
Processed 1780000 rows; Write: 10678.55 rows/s
Processed 1790000 rows; Write: 10267.82 rows/s
Processed 1800000 rows; Write: 10296.54 rows/s
Processed 1810000 rows; Write: 10655.40 rows/s
Processed 1820000 rows; Write: 10754.82 rows/s
Processed 1830000 rows; Write: 10597.76 rows/s
Processed 1840000 rows; Write: 10873.74 rows/s
Processed 1850000 rows; Write: 10269.28 rows/s
Processed 1860000 rows; Write: 10176.86 rows/s
Processed 1870000 rows; Write: 10125.08 rows/s
Processed 1880000 rows; Write: 9917.53 rows/s
Processed 1890000 rows; Write: 10052.52 rows/s
Processed 1900000 rows; Write: 10096.26 rows/s
Processed 1910000 rows; Write: 10509.72 rows/s
Processed 1920000 rows; Write: 10585.61 rows/s
Processed 1930000 rows; Write: 10090.79 rows/s
Processed 1940000 rows; Write: 10195.24 rows/s
Processed 1950000 rows; Write: 10252.71 rows/s
Processed 1960000 rows; Write: 10082.37 rows/s
Processed 1970000 rows; Write: 10429.20 rows/s
Processed 1980000 rows; Write: 10700.52 rows/s
Processed 1990000 rows; Write: 10629.84 rows/s
Processed 2000000 rows; Write: 10248.33 rows/s
Processed 2010000 rows; Write: 11036.65 rows/s
Processed 2020000 rows; Write: 10692.54 rows/s
Processed 2030000 rows; Write: 10767.26 rows/s
Processed 2040000 rows; Write: 10676.89 rows/s
Processed 2050000 rows; Write: 10570.69 rows/s
Processed 2060000 rows; Write: 10740.82 rows/s
Processed 2070000 rows; Write: 10471.93 rows/s
Processed 2080000 rows; Write: 11132.64 rows/s
Processed 2090000 rows; Write: 10257.39 rows/s
Processed 2100000 rows; Write: 10291.05 rows/s
Processed 2110000 rows; Write: 9916.40 rows/s
Processed 2120000 rows; Write: 10507.22 rows/s
Processed 2130000 rows; Write: 10605.90 rows/s
Processed 2140000 rows; Write: 10391.49 rows/s
Processed 2150000 rows; Write: 10883.25 rows/s
Processed 2160000 rows; Write: 11233.66 rows/s
Processed 2170000 rows; Write: 10558.51 rows/s
Processed 2180000 rows; Write: 10671.89 rows/s
Processed 2190000 rows; Write: 10582.89 rows/s
Processed 2200000 rows; Write: 10473.53 rows/s
Processed 2210000 rows; Write: 10025.39 rows/s
Processed 2220000 rows; Write: 9673.15 rows/s
Processed 2230000 rows; Write: 9720.63 rows/s
Processed 2240000 rows; Write: 9750.40 rows/s
Processed 2250000 rows; Write: 9959.08 rows/s
Processed 2260000 rows; Write: 9753.06 rows/s
Processed 2270000 rows; Write: 10156.81 rows/s
Processed 2280000 rows; Write: 10533.56 rows/s
Processed 2290000 rows; Write: 10280.65 rows/s
Processed 2300000 rows; Write: 8783.76 rows/s
Processed 2310000 rows; Write: 9290.41 rows/s
Processed 2320000 rows; Write: 9571.08 rows/s
Processed 2330000 rows; Write: 10158.52 rows/s
Processed 2340000 rows; Write: 9980.99 rows/s
Processed 2350000 rows; Write: 10058.12 rows/s
Processed 2360000 rows; Write: 10359.89 rows/s
Processed 2370000 rows; Write: 10145.30 rows/s
Processed 2380000 rows; Write: 9972.50 rows/s
Processed 2390000 rows; Write: 10005.00 rows/s
Processed 2400000 rows; Write: 10126.21 rows/s
Processed 2410000 rows; Write: 10367.48 rows/s
Processed 2420000 rows; Write: 10833.55 rows/s
Processed 2430000 rows; Write: 10855.13 rows/s
Processed 2440000 rows; Write: 10342.23 rows/s
Processed 2450000 rows; Write: 10220.97 rows/s
Processed 2460000 rows; Write: 10231.26 rows/s
Processed 2470000 rows; Write: 10480.40 rows/s
Processed 2480000 rows; Write: 10562.24 rows/s
Processed 2490000 rows; Write: 10610.16 rows/s
Processed 2500000 rows; Write: 13376.04 rows/s
Processed 2510000 rows; Write: 12108.52 rows/s
Processed 2520000 rows; Write: 11263.49 rows/s
Processed 2530000 rows; Write: 10675.66 rows/s
Processed 2540000 rows; Write: 10151.51 rows/s
Processed 2550000 rows; Write: 10321.64 rows/s
Processed 2560000 rows; Write: 10574.69 rows/s
Processed 2570000 rows; Write: 10832.44 rows/s
Processed 2580000 rows; Write: 10954.50 rows/s
Processed 2590000 rows; Write: 10746.99 rows/s
Processed 2600000 rows; Write: 10548.47 rows/s
Processed 2610000 rows; Write: 10319.92 rows/s
Processed 2620000 rows; Write: 10661.45 rows/s
Processed 2630000 rows; Write: 10283.42 rows/s
Processed 2640000 rows; Write: 10147.21 rows/s
Processed 2650000 rows; Write: 10551.52 rows/s
Processed 2660000 rows; Write: 10248.23 rows/s
Processed 2670000 rows; Write: 10457.44 rows/s
Processed 2680000 rows; Write: 10155.20 rows/s
Processed 2690000 rows; Write: 10856.32 rows/s
Processed 2700000 rows; Write: 10866.21 rows/s
Processed 2710000 rows; Write: 11032.23 rows/s
Processed 2720000 rows; Write: 11144.29 rows/s
Processed 2730000 rows; Write: 11028.66 rows/s
Processed 2740000 rows; Write: 10369.50 rows/s
Processed 2750000 rows; Write: 10758.05 rows/s
Processed 2760000 rows; Write: 10794.64 rows/s
Processed 2770000 rows; Write: 10548.46 rows/s
Processed 2780000 rows; Write: 10450.33 rows/s
Processed 2790000 rows; Write: 10753.44 rows/s
